k,c,r,K,n_insert,n_queries,recall,cr_ann_accuracy,memory_MB
128,1.5,0.5,50,50000,5000,1.0000,1.0,197.79
128,1.6,0.5,50,50000,5000,1.0000,1.0,197.79
128,1.7,0.5,50,50000,5000,1.0000,1.0,197.79
128,1.8,0.5,50,50000,5000,1.0000,1.0,197.79
128,1.9,0.5,50,50000,5000,1.0000,1.0,197.79
128,2.0,0.5,50,50000,5000,1.0000,1.0,197.79
16,1.5,0.5,50,50000,5000,0.9304,0.9794183445190157,26.56
16,1.6,0.5,50,50000,5000,0.9589,0.9859060402684564,26.56
16,1.7,0.5,50,50000,5000,0.9759,0.9914988814317673,26.56
16,1.8,0.5,50,50000,5000,0.9861,0.9948545861297539,26.56
16,1.9,0.5,50,50000,5000,0.9922,0.996420581655481,26.56
16,2.0,0.5,50,50000,5000,0.9958,0.9973154362416108,26.56
256,1.5,0.5,50,50000,5000,1.0000,1.0,393.49
256,1.6,0.5,50,50000,5000,1.0000,1.0,393.49
256,1.7,0.5,50,50000,5000,1.0000,1.0,393.49
256,1.8,0.5,50,50000,5000,1.0000,1.0,393.49
256,1.9,0.5,50,50000,5000,1.0000,1.0,393.49
256,2.0,0.5,50,50000,5000,1.0000,1.0,393.49
2,1.5,0.5,50,50000,5000,0.2787,0.5552572706935123,5.16
2,1.6,0.5,50,50000,5000,0.3521,0.61834451901566,5.16
2,1.7,0.5,50,50000,5000,0.4206,0.6803131991051454,5.16
2,1.8,0.5,50,50000,5000,0.4853,0.7420581655480984,5.16
2,1.9,0.5,50,50000,5000,0.5451,0.7968680089485458,5.16
2,2.0,0.5,50,50000,5000,0.5994,0.8476510067114094,5.16
32,1.5,0.5,50,50000,5000,0.9962,0.9988814317673378,51.02
32,1.6,0.5,50,50000,5000,0.9987,0.9997762863534676,51.02
32,1.7,0.5,50,50000,5000,0.9995,0.9997762863534676,51.02
32,1.8,0.5,50,50000,5000,0.9998,1.0,51.02
32,1.9,0.5,50,50000,5000,0.9999,1.0,51.02
32,2.0,0.5,50,50000,5000,1.0000,1.0,51.02
4,1.5,0.5,50,50000,5000,0.4342,0.7252796420581655,8.21
4,1.6,0.5,50,50000,5000,0.5155,0.7818791946308725,8.21
4,1.7,0.5,50,50000,5000,0.5883,0.8315436241610739,8.21
4,1.8,0.5,50,50000,5000,0.6518,0.8695749440715884,8.21
4,1.9,0.5,50,50000,5000,0.7074,0.9046979865771813,8.21
4,2.0,0.5,50,50000,5000,0.7554,0.9328859060402684,8.21
512,1.5,0.5,50,50000,5000,1.0000,1.0,784.88
512,1.6,0.5,50,50000,5000,1.0000,1.0,784.88
512,1.7,0.5,50,50000,5000,1.0000,1.0,784.88
512,1.8,0.5,50,50000,5000,1.0000,1.0,784.88
512,1.9,0.5,50,50000,5000,1.0000,1.0,784.88
512,2.0,0.5,50,50000,5000,1.0000,1.0,784.88
64,1.5,0.5,50,50000,5000,1.0000,1.0,99.95
64,1.6,0.5,50,50000,5000,1.0000,1.0,99.95
64,1.7,0.5,50,50000,5000,1.0000,1.0,99.95
64,1.8,0.5,50,50000,5000,1.0000,1.0,99.95
64,1.9,0.5,50,50000,5000,1.0000,1.0,99.95
64,2.0,0.5,50,50000,5000,1.0000,1.0,99.95
8,1.5,0.5,50,50000,5000,0.7074,0.8912751677852349,14.33
8,1.6,0.5,50,50000,5000,0.7781,0.9190156599552572,14.33
8,1.7,0.5,50,50000,5000,0.8333,0.9451901565995525,14.33
8,1.8,0.5,50,50000,5000,0.8739,0.9592841163310962,14.33
8,1.9,0.5,50,50000,5000,0.9054,0.9706935123042506,14.33
8,2.0,0.5,50,50000,5000,0.9293,0.9845637583892617,14.33
