r,epsilon,eta,recall,cr_ann_accuracy,memory_MB
0.5,0.5,0.1,1.0000,1.0,634.6874542236328
0.5,0.5,0.2,0.9971,0.9993279569892473,326.7301788330078
0.5,0.5,0.3,0.9147,0.9977598566308243,190.04549407958984
0.5,0.5,0.4,0.6304,0.9955197132616488,126.81710815429688
0.5,0.5,0.5,0.3695,0.9917114695340502,99.79071044921875
0.5,0.5,0.7,0.0450,0.9576612903225806,84.46124267578125
0.5,0.5,0.9,0.0021,0.29525089605734767,82.23930358886719
0.5,0.6,0.1,1.0000,1.0,330.29290771484375
0.5,0.6,0.2,0.9994,1.0,178.16685485839844
0.5,0.6,0.3,0.9607,0.9991039426523297,104.0194320678711
0.5,0.6,0.4,0.7626,0.9970878136200717,72.21430206298828
0.5,0.6,0.5,0.4868,0.9946236559139785,59.284584045410156
0.5,0.6,0.7,0.0615,0.9807347670250897,49.3231201171875
0.5,0.6,0.9,0.0148,0.9209229390681004,48.28315734863281
0.5,0.7,0.1,0.9999,1.0,182.88893127441406
0.5,0.7,0.2,0.9999,1.0,100.35343170166016
0.5,0.7,0.3,0.9830,1.0,62.43623733520508
0.5,0.7,0.4,0.8465,0.9988799283154122,44.55989456176758
0.5,0.7,0.5,0.5824,0.9984318996415771,36.333518981933594
0.5,0.7,0.7,0.1095,0.991263440860215,31.066532135009766
0.5,0.7,0.9,0.0101,0.803763440860215,29.905704498291016
0.5,0.8,0.1,1.0000,1.0,116.7232666015625
0.5,0.8,0.2,0.9999,1.0,63.814300537109375
0.5,0.8,0.3,0.9922,1.0,41.28130340576172
0.5,0.8,0.4,0.8905,1.0,29.487808227539062
0.5,0.8,0.5,0.6689,0.9997759856630825,24.604812622070312
0.5,0.8,0.7,0.1314,0.9921594982078853,21.037315368652344
0.5,0.8,0.9,0.0220,0.9829749103942652,20.502220153808594
0.5,0.9,0.1,0.9984,1.0,68.53465270996094
0.5,0.9,0.2,1.0000,1.0,41.09893798828125
0.5,0.9,0.3,0.9972,1.0,26.115936279296875
0.5,0.9,0.4,0.9248,1.0,19.910140991210938
0.5,0.9,0.5,0.7182,0.9997759856630825,16.405921936035156
0.5,0.9,0.7,0.1586,0.9955197132616488,14.344009399414062
0.5,0.9,0.9,0.0032,0.5687724014336918,13.889312744140625
0.5,1.0,0.1,1.0000,1.0,49.939510345458984
0.5,1.0,0.2,0.9982,1.0,29.084304809570312
0.5,1.0,0.3,0.9982,1.0,19.601879119873047
0.5,1.0,0.4,0.9587,1.0,14.205883026123047
0.5,1.0,0.5,0.7377,1.0,12.019420623779297
0.5,1.0,0.7,0.1453,0.9968637992831542,10.568035125732422
0.5,1.0,0.9,0.0173,0.8767921146953405,10.304683685302734
