method,dataset,eta,k,recall,QPS,memory_MB
JL,data_csvs/fashion_mnist.csv,0.1,8,0.2420,34.16,2.88
JL,data_csvs/fashion_mnist.csv,0.1,16,0.4450,33.03,5.35
JL,data_csvs/fashion_mnist.csv,0.1,32,0.7290,32.65,10.28
JL,data_csvs/fashion_mnist.csv,0.1,4,0.0980,33.23,1.65
JL,data_csvs/fashion_mnist.csv,0.1,64,0.8890,30.64,20.14
JL,data_csvs/fashion_mnist.csv,0.1,128,0.9640,29.98,39.86
JL,data_csvs/fashion_mnist.csv,0.1,256,0.9950,29.22,79.31
JL,data_csvs/fashion_mnist.csv,0.1,512,1.0000,26.66,158.20
JL,data_csvs/fashion_mnist.csv,0.1,784,1.0000,18.92,242.02
ANN,data_csvs/fashion_mnist.csv,0.2,128,1.0000,171.85,51.69
ANN,data_csvs/fashion_mnist.csv,0.3,128,0.9810,171.09,38.91
ANN,data_csvs/fashion_mnist.csv,0.1,128,1.0000,191.69,75.19
ANN,data_csvs/fashion_mnist.csv,0.5,128,0.5920,159.00,27.68
ANN,data_csvs/fashion_mnist.csv,0.7,128,0.2050,185.65,25.72
ANN,data_csvs/fashion_mnist.csv,0.9,128,0.0400,185.87,25.18
ANN,data_csvs/fashion_mnist.csv,0.0,128,1.0000,152.63,122.63
JL,data_csvs/sift-1m.csv,0.1,4,0.0480,36.20,1.64
JL,data_csvs/sift-1m.csv,0.1,8,0.1230,35.89,2.86
JL,data_csvs/sift-1m.csv,0.1,16,0.2880,36.00,5.31
JL,data_csvs/sift-1m.csv,0.1,32,0.5410,36.99,10.20
JL,data_csvs/sift-1m.csv,0.1,64,0.7910,34.29,19.98
JL,data_csvs/sift-1m.csv,0.1,128,0.9550,35.03,39.54
ANN,data_csvs/sift-1m.csv,0.1,128,1.0000,346.94,41.11
ANN,data_csvs/sift-1m.csv,0.2,128,1.0000,463.24,23.35
ANN,data_csvs/sift-1m.csv,0.3,128,1.0000,511.41,14.03
ANN,data_csvs/sift-1m.csv,0.0,128,1.0000,287.04,73.26
JL,data_csvs/synthetic_points.csv,0.1,4,0.0390,36.75,1.64
ANN,data_csvs/sift-1m.csv,0.5,128,0.9820,256.06,6.39
ANN,data_csvs/sift-1m.csv,0.7,128,0.6220,260.51,4.69
ANN,data_csvs/sift-1m.csv,0.9,128,0.0840,251.31,4.24
JL,data_csvs/synthetic_points.csv,0.1,16,0.2550,33.51,5.30
JL,data_csvs/synthetic_points.csv,0.1,8,0.0900,33.44,2.86
JL,data_csvs/synthetic_points.csv,0.1,32,0.4970,32.84,10.19
ANN,data_csvs/synthetic_points.csv,0.2,128,1.0000,356.04,22.37
ANN,data_csvs/synthetic_points.csv,0.3,128,1.0000,404.38,11.86
ANN,data_csvs/synthetic_points.csv,0.5,128,1.0000,191.05,3.94
ANN,data_csvs/synthetic_points.csv,0.7,128,0.9740,144.26,1.74
ANN,data_csvs/synthetic_points.csv,0.1,128,1.0000,356.90,42.76
ANN,data_csvs/synthetic_points.csv,0.9,128,0.2860,272.18,1.29
ANN,data_csvs/synthetic_points.csv,0.0,128,1.0000,400.63,75.70
