epsilon,eta,recall,memory_MB
0.1,0.0,1.0000,42.74170684814453
0.1,0.1,1.0000,33.034828186035156
0.1,0.15,0.9982,30.007522583007812
0.1,0.2,0.9962,27.94415283203125
0.1,0.25,0.9848,25.965431213378906
0.1,0.3,0.9066,23.566749572753906
0.1,0.5,0.5624,20.138267517089844
0.1,0.7,0.1902,18.858238220214844
0.1,0.9,0.0690,18.526351928710938
0.2,0.0,1.0000,20.12505340576172
0.2,0.1,1.0000,16.188140869140625
0.2,0.15,1.0000,14.657154083251953
0.2,0.2,1.0000,13.160903930664062
0.2,0.25,1.0000,12.877559661865234
0.2,0.3,1.0000,11.793399810791016
0.2,0.5,0.9806,10.1754150390625
0.2,0.7,0.5436,9.49905014038086
0.2,0.9,0.2394,9.382442474365234
0.5,0.0,1.0000,3.90679931640625
0.5,0.1,1.0000,3.4227294921875
0.5,0.15,1.0000,3.1620216369628906
0.5,0.2,1.0000,2.9169235229492188
0.5,0.25,1.0000,2.808746337890625
0.5,0.3,1.0000,2.6772804260253906
0.5,0.5,1.0000,2.4027252197265625
0.5,0.7,0.8966,2.252880096435547
0.5,0.9,0.0000,2.1866226196289062
