k,c,r,K,n_insert,n_queries,recall,cr_ann_accuracy,memory_MB
128,1.5,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.6,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.7,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.8,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.9,0.5,50,50000,5000,1.0000,1.0,197.47
128,2.0,0.5,50,50000,5000,1.0000,1.0,197.47
16,1.5,0.5,50,50000,5000,0.9410,0.9362256993835941,26.52
16,1.6,0.5,50,50000,5000,0.9711,0.9649122807017544,26.52
16,1.7,0.5,50,50000,5000,0.9865,0.9800853485064012,26.52
16,1.8,0.5,50,50000,5000,0.9940,0.9900426742532006,26.52
16,1.9,0.5,50,50000,5000,0.9973,0.9950213371266002,26.52
16,2.0,0.5,50,50000,5000,0.9988,0.9976292081555239,26.52
32,1.5,0.5,50,50000,5000,0.9967,0.9950213371266002,50.94
32,1.6,0.5,50,50000,5000,0.9992,0.9981033665244191,50.94
32,1.7,0.5,50,50000,5000,0.9998,0.9995258416311048,50.94
32,1.8,0.5,50,50000,5000,0.9999,1.0,50.94
32,1.9,0.5,50,50000,5000,1.0000,1.0,50.94
32,2.0,0.5,50,50000,5000,1.0000,1.0,50.94
64,1.5,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.6,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.7,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.8,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.9,0.5,50,50000,5000,1.0000,1.0,99.79
64,2.0,0.5,50,50000,5000,1.0000,1.0,99.79
8,1.5,0.5,50,50000,5000,0.7769,0.7283072546230441,14.31
8,1.6,0.5,50,50000,5000,0.8561,0.8082029397818872,14.31
8,1.7,0.5,50,50000,5000,0.9105,0.8615457562825984,14.31
8,1.8,0.5,50,50000,5000,0.9460,0.9037458511142722,14.31
8,1.9,0.5,50,50000,5000,0.9680,0.9409672830725462,14.31
8,2.0,0.5,50,50000,5000,0.9808,0.9632527264106211,14.31
