k,c,r,K,n_insert,n_queries,recall,cr_ann_accuracy,memory_MB
128,1.1,0.5,50,50000,5000,0.9690,0.9931247036510195,197.47
128,1.5,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.6,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.7,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.8,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.9,0.5,50,50000,5000,1.0000,1.0,197.47
128,1.0,0.5,50,50000,5000,0.6929,0.944760550023708,197.47
128,2.0,0.5,50,50000,5000,1.0000,1.0,197.47
16,1.1,0.5,50,50000,5000,0.4658,0.6685633001422475,26.52
16,1.5,0.5,50,50000,5000,0.9410,0.9362256993835941,26.52
16,1.6,0.5,50,50000,5000,0.9711,0.9649122807017544,26.52
16,1.7,0.5,50,50000,5000,0.9865,0.9800853485064012,26.52
16,1.8,0.5,50,50000,5000,0.9940,0.9900426742532006,26.52
16,1.9,0.5,50,50000,5000,0.9973,0.9950213371266002,26.52
16,1.0,0.5,50,50000,5000,0.2728,0.5493124703651019,26.52
16,2.0,0.5,50,50000,5000,0.9988,0.9976292081555239,26.52
2,1.6,0.5,50,50000,5000,0.4182,0.3274063537221432,5.15
2,1.7,0.5,50,50000,5000,0.5108,0.41085822664770033,5.15
2,1.8,0.5,50,50000,5000,0.5931,0.4947842579421527,5.15
2,1.9,0.5,50,50000,5000,0.6647,0.5699383594120436,5.15
32,1.1,0.5,50,50000,5000,0.7171,0.8821716453295401,50.94
32,1.5,0.5,50,50000,5000,0.9967,0.9950213371266002,50.94
32,1.6,0.5,50,50000,5000,0.9992,0.9981033665244191,50.94
32,1.7,0.5,50,50000,5000,0.9998,0.9995258416311048,50.94
32,1.8,0.5,50,50000,5000,0.9999,1.0,50.94
32,1.9,0.5,50,50000,5000,1.0000,1.0,50.94
32,1.0,0.5,50,50000,5000,0.4447,0.7745376955903271,50.94
32,2.0,0.5,50,50000,5000,1.0000,1.0,50.94
4,1.6,0.5,50,50000,5000,0.5692,0.9,8.21
4,1.7,0.5,50,50000,5000,0.6383,0.9,8.21
4,1.8,0.5,50,50000,5000,0.6969,0.9,8.21
4,1.9,0.5,50,50000,5000,0.7472,0.9,8.21
64,1.1,0.5,50,50000,5000,0.8725,0.9601706970128022,99.79
64,1.5,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.6,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.7,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.8,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.9,0.5,50,50000,5000,1.0000,1.0,99.79
64,1.0,0.5,50,50000,5000,0.5717,0.8788525367472736,99.79
64,2.0,0.5,50,50000,5000,1.0000,1.0,99.79
8,1.1,0.5,50,50000,5000,0.2430,0.37197724039829305,14.31
8,1.5,0.5,50,50000,5000,0.7769,0.7283072546230441,14.31
8,1.6,0.5,50,50000,5000,0.8561,0.8082029397818872,14.31
8,1.7,0.5,50,50000,5000,0.9105,0.8615457562825984,14.31
8,1.8,0.5,50,50000,5000,0.9460,0.9037458511142722,14.31
8,1.9,0.5,50,50000,5000,0.9680,0.9409672830725462,14.31
8,1.0,0.5,50,50000,5000,0.1302,0.28236130867709813,14.31
8,2.0,0.5,50,50000,5000,0.9808,0.9632527264106211,14.31
