r,epsilon,eta,recall,cr_ann_acc,memory_MB
1.0,0.1,0.1,0.9697,1.0,6026.09338760376
1.0,0.1,0.2,0.6126,1.0,3150.1195907592773
1.0,0.1,0.3,0.2295,1.0,1721.9318923950195
1.0,0.1,0.4,0.0747,1.0,983.9922866821289
1.0,0.1,0.5,0.0270,1.0,593.2724761962891
1.0,0.1,0.7,0.0026,1.0,359.7184829711914
1.0,0.5,0.1,0.9997,1.0,163.07445526123047
1.0,0.5,0.2,0.9954,1.0,86.34294128417969
1.0,0.5,0.3,0.9816,1.0,51.06517028808594
1.0,0.5,0.4,0.9087,1.0,31.659690856933594
1.0,0.5,0.5,0.7407,1.0,23.46068572998047
1.0,0.5,0.7,0.0915,1.0,15.144813537597656
1.0,0.5,0.9,0.0202,1.0,14.027183532714844
1.0,1.0,0.1,0.9997,1.0,16.456619262695312
1.0,1.0,0.2,0.9981,1.0,8.008644104003906
1.0,1.0,0.3,0.9953,1.0,4.803295135498047
1.0,1.0,0.4,0.9851,1.0,3.2930221557617188
1.0,1.0,0.5,0.9627,1.0,2.564544677734375
1.0,1.0,0.7,0.3705,1.0,1.9495315551757812
1.0,1.0,0.9,0.0000,0.0,1.6975021362304688
1.0,0.1,0.1,0.9697,1.0,6026.09338760376
1.0,0.1,0.2,0.6126,1.0,3150.1195907592773
1.0,0.1,0.3,0.2295,1.0,1721.9318923950195
1.0,0.1,0.4,0.0747,1.0,983.9922866821289
1.0,0.1,0.5,0.0270,1.0,593.2724761962891
1.0,0.1,0.7,0.0026,1.0,359.7184829711914
1.0,0.1,0.9,0.0004,0.9952,326.044864654541
1.0,0.5,0.1,0.9997,1.0,163.07445526123047
1.0,0.5,0.2,0.9954,1.0,86.34294128417969
1.0,0.5,0.3,0.9816,1.0,51.06517028808594
1.0,0.5,0.4,0.9087,1.0,31.659690856933594
1.0,0.5,0.5,0.7407,1.0,23.46068572998047
1.0,0.5,0.7,0.0915,1.0,15.144813537597656
1.0,0.5,0.9,0.0202,1.0,14.027183532714844
1.0,1.0,0.1,0.9997,1.0,16.456619262695312
1.0,1.0,0.2,0.9981,1.0,8.008644104003906
1.0,1.0,0.3,0.9953,1.0,4.803295135498047
1.0,1.0,0.4,0.9851,1.0,3.2930221557617188
1.0,1.0,0.5,0.9627,1.0,2.564544677734375
1.0,1.0,0.7,0.3705,1.0,1.9495315551757812
1.0,1.0,0.9,0.0000,0.0,1.6975021362304688
